"z","dest","src","probability","transition energy (in eV)"
31,5,12,"9.11763E-07","1.52870E+02"
31,6,8,"4.16940E-05","8.36400E+01"
31,6,10,"6.04500E-06","9.93200E+01"
31,7,8,"3.77370E-06","7.99100E+01"
31,7,9,"3.48040E-05","8.04100E+01"
31,7,10,"3.32070E-06","9.55900E+01"
31,3,30,"7.85884E-10","2.84000E+01"
31,5,30,"1.11790E-05","4.67400E+01"
31,8,30,"6.07457E-09","2.23891E+01"
32,1,3,"1.58539E-01","9.85542E+03"
32,1,4,"3.07699E-01","9.88652E+03"
32,1,6,"2.04929E-02","1.09781E+04"
32,1,7,"4.00378E-02","1.09822E+04"
32,1,8,"3.76288E-05","1.10748E+04"
32,1,9,"5.42778E-05","1.10748E+04"
32,1,11,"3.34229E-04","1.10605E+04"
32,1,12,"6.40897E-04","1.10607E+04"
32,2,3,"1.51430E-05","1.46900E+02"
32,2,4,"7.96502E-05","1.79500E+02"
32,2,6,"8.45872E-04","1.28612E+03"
32,2,7,"1.42280E-03","1.29404E+03"
32,2,8,"3.68421E-06","1.38250E+03"
32,2,9,"5.30451E-06","1.38320E+03"
32,2,11,"1.48270E-05","1.39580E+03"
32,2,12,"2.65231E-05","1.39601E+03"
32,3,5,"4.21451E-03","1.06798E+03"
32,3,7,"2.07200E-05","1.12840E+03"
32,3,8,"9.33232E-03","1.21850E+03"
32,3,10,"1.44440E-04","1.24062E+03"
32,3,12,"4.58571E-08","1.24911E+03"
32,4,5,"4.22021E-03","1.03621E+03"
32,4,6,"1.09060E-05","1.09270E+03"
32,4,7,"1.05000E-05","1.09740E+03"
32,4,8,"8.05681E-04","1.18801E+03"
32,4,9,"8.31881E-03","1.18801E+03"
32,4,10,"1.24860E-04","1.20802E+03"
32,4,11,"2.10710E-08","1.21630E+03"
32,4,12,"1.99380E-08","1.21651E+03"
32,5,7,"3.23001E-05","5.42700E+01"
32,5,11,"2.29881E-06","1.72750E+02"
32,5,12,"3.59621E-06","1.72960E+02"
32,6,8,"5.83360E-05","9.05600E+01"
32,6,10,"8.94200E-06","1.14600E+02"
32,7,8,"5.23161E-06","8.61600E+01"
32,7,9,"4.84271E-05","8.67900E+01"
32,7,10,"5.68871E-06","1.10200E+02"
32,3,30,"9.43262E-10","3.26000E+01"
32,5,30,"1.23020E-05","4.98700E+01"
32,8,30,"9.84901E-08","3.23534E+01"
32,9,30,"7.94543E-08","3.19000E+01"
33,1,3,"1.66890E-01","1.05075E+04"
33,1,4,"3.23251E-01","1.05433E+04"
33,1,6,"2.20590E-02","1.17199E+04"
33,1,7,"4.30891E-02","1.17257E+04"
33,1,8,"4.61411E-05","1.18214E+04"
33,1,9,"6.64471E-05","1.18214E+04"
33,1,11,"6.72162E-04","1.18209E+04"
33,1,12,"1.29230E-03","1.18212E+04"
33,2,3,"1.47177E-05","1.53500E+02"
33,2,4,"7.92740E-05","1.90900E+02"
33,2,6,"9.04147E-04","1.38854E+03"
33,2,7,"1.55206E-03","1.38854E+03"
33,2,8,"4.19556E-06","1.48830E+03"
33,2,9,"6.17021E-06","1.48920E+03"
33,2,11,"2.92382E-05","1.51108E+03"
33,2,12,"5.22734E-05","1.51139E+03"
33,3,5,"3.97241E-03","1.15504E+03"
33,3,7,"2.16131E-05","1.21930E+03"
33,3,8,"1.12390E-02","1.31699E+03"
33,3,10,"1.49861E-04","1.34784E+03"
33,3,12,"9.45533E-08","1.35789E+03"
33,4,5,"4.16398E-03","1.11978E+03"
33,4,6,"1.16210E-05","1.17810E+03"
33,4,7,"1.11650E-05","1.18370E+03"
33,4,8,"9.90226E-04","1.28201E+03"
33,4,9,"1.00090E-02","1.28201E+03"
33,4,10,"1.30850E-04","1.31044E+03"
33,4,11,"4.39948E-08","1.32018E+03"
33,4,12,"4.17228E-08","1.32049E+03"
33,5,6,"1.30510E-05","5.30700E+01"
33,5,7,"3.41950E-05","5.82400E+01"
33,5,11,"5.39910E-06","1.93900E+02"
33,5,12,"8.47180E-06","1.94210E+02"
33,6,8,"7.88572E-05","9.76300E+01"
33,6,10,"1.29330E-05","1.31090E+02"
33,7,8,"6.99485E-06","9.24600E+01"
33,7,9,"6.50115E-05","9.32300E+01"
33,7,10,"9.36567E-06","1.25920E+02"
33,3,30,"1.11430E-09","3.74000E+01"
33,8,30,"5.04918E-07","4.32491E+01"
33,9,30,"4.10922E-07","4.27400E+01"
34,1,3,"1.74701E-01","1.11815E+04"
34,1,4,"3.37942E-01","1.12225E+04"
34,1,6,"2.36001E-02","1.24897E+04"
34,1,7,"4.60552E-02","1.24960E+04"
34,1,8,"5.55973E-05","1.25960E+04"
34,1,9,"7.99684E-05","1.25960E+04"
34,1,11,"1.11901E-03","1.26092E+04"
34,1,12,"2.15411E-03","1.26096E+04"
34,2,3,"1.44017E-05","1.60300E+02"
34,2,4,"7.93759E-05","2.02900E+02"
34,2,6,"9.53513E-04","1.49000E+03"
34,2,7,"1.68825E-03","1.49000E+03"
34,2,8,"4.78764E-06","1.59800E+03"
34,2,9,"7.11894E-06","1.59890E+03"
34,2,11,"4.80836E-05","1.63168E+03"
34,2,12,"8.57302E-05","1.63210E+03"
34,3,5,"3.74707E-03","1.24455E+03"
34,3,7,"2.22898E-05","1.31470E+03"
34,3,8,"1.32429E-02","1.41924E+03"
34,3,10,"1.55169E-04","1.46021E+03"
34,3,12,"1.61999E-07","1.47180E+03"
34,4,5,"4.08913E-03","1.20441E+03"
34,4,6,"1.22371E-05","1.26770E+03"
34,4,7,"1.17321E-05","1.27390E+03"
34,4,8,"1.18331E-03","1.37911E+03"
34,4,9,"1.18471E-02","1.37911E+03"
34,4,10,"1.36231E-04","1.41761E+03"
34,4,11,"7.60566E-08","1.42878E+03"
34,4,12,"7.22246E-08","1.42920E+03"
34,5,6,"1.29342E-05","5.63300E+01"
34,5,7,"3.40875E-05","6.23900E+01"
34,5,11,"9.43951E-06","2.16280E+02"
34,5,12,"1.48014E-05","2.16700E+02"
34,6,8,"1.03740E-04","1.04860E+02"
34,6,10,"1.79729E-05","1.48780E+02"
34,7,8,"9.06327E-06","9.88000E+01"
34,7,9,"8.45897E-05","9.97400E+01"
34,7,10,"1.47660E-05","1.42720E+02"
